Date,Open,High,Low,Close,Volume,VWAP,TWAP
2019-11-19,8219.6896196,8272.49233816,8054.70271353,8163.22106929,509192.19642907,8184.54210139,8185.71905477
2019-11-18,8546.75146336,8587.55628854,8167.98851754,8232.64883768,503065.8295853,8433.62734921,8451.61517581
2019-11-17,8541.31518239,8688.79549935,8481.1864668,8545.47786974,363585.95557909,8579.12912933,8578.68139001
2019-11-16,8533.80906542,8587.92108049,8495.36607266,8556.1374893,341899.82214943,8538.34981569,8539.29644206
2019-11-15,8687.88367338,8749.88139689,8500.20085613,8528.97095891,502607.11160532,8600.97830101,8605.38628147
2019-11-14,8818.23289851,8836.47640465,8641.53019541,8681.71013999,384271.60968716,8706.87419352,8708.65999631
2019-11-13,8843.07858039,8854.88245217,8720.70098137,8822.17325247,353353.29233101,8798.06105561,8798.37067478
2019-11-12,8786.23846173,8847.55989775,8673.47121003,8830.06079109,430225.39513787,8785.89849566,8785.24094377
2019-11-11,9124.10152653,9144.44781241,8699.44311009,8777.69513188,431579.84052474,8844.29280296,8854.63491776
2019-11-10,8871.33774501,9180.36809279,8794.39739679,9023.83717206,374468.31332393,8941.14722584,8935.68693449
2019-11-09,8812.32327253,8935.91634849,8784.06554047,8873.0301216,336159.48733713,8870.1517443,8867.64182695
2019-11-08,9234.22450025,9281.59059411,8758.64584193,8819.72634818,581716.72255461,9008.96233347,9029.70373737
2019-11-07,9318.86208892,9365.30164134,9185.15498638,9237.39030157,450786.12199799,9270.40829158,9269.63875038
2019-11-06,9313.44133375,9378.37378275,9192.30613032,9329.3419596,509615.39928301,9300.61087587,9299.89380342
2019-11-05,9390.72235798,9424.49863695,9195.85628466,9312.05623327,556041.77176475,9314.97400883,9316.30730682
2019-11-04,9252.99932808,9451.33742587,9175.75923294,9398.05484555,607384.66431167,9277.44500579,9271.7587607
2019-11-03,9300.24693405,9375.77455599,9161.33618047,9259.79149627,461658.60893233,9249.09985234,9248.59720002
2019-11-02,9253.39201082,9386.85306524,9216.53839721,9303.25400185,473484.67490363,9291.16638517,9293.07644563
2019-11-01,9182.16061595,9324.32650069,9088.28810166,9247.45205118,575906.33839336,9180.93628599,9182.67691329
2019-10-31,9193.18111461,9375.19352601,9007.55197294,9185.68885114,678250.27552758,9191.26679541,9190.83459932
2019-10-30,9333.44743404,9392.28411697,9023.70821983,9160.21195523,682166.60464341,9177.16708398,9178.15097477
2019-10-29,9146.39551776,9460.49137411,9103.39216067,9348.48371311,730025.70495905,9313.79939298,9315.00124854
2019-10-28,9349.92398788,9620.18448045,9144.61950151,9144.61950151,876619.14345722,9369.29424371,9370.24472359
2019-10-27,9221.68782598,9544.01137613,8945.513751,9356.87289887,928137.58451219,9236.82073507,9253.00245532
2019-10-26,8567.31230934,9897.8377304,8567.31230934,9216.12300721,1622745.40904082,9123.26661752,9130.49965672
2019-10-25,7482.32375356,8633.1620166,7477.6168055,8578.35197335,979837.08097861,8011.71578748,7892.08085569
2019-10-24,7561.14972029,7589.88854137,7455.96639814,7489.34068038,529794.82327336,7516.48880464,7517.197341
2019-10-23,8107.98368732,8107.98368732,7493.68873205,7546.0397838,793446.48845944,7787.45592505,7837.90384933
2019-10-22,8218.83619952,8316.95720082,8096.62583868,8112.37542189,479028.03365826,8236.342933,8236.38366274
2019-10-21,8236.0330838,8315.93840055,8191.2625836,8221.92447199,448912.62109869,8241.60551976,8241.72073647
2019-10-20,8021.70786873,8321.30025329,7949.135088,8223.58141598,423359.90900735,8074.53530679,8071.83556621
2019-10-19,8015.33511924,8102.35406734,7961.44498431,7995.58668354,383741.42660182,8011.08323176,8011.37488358
2019-10-18,8108.39573489,8156.67042263,7909.6702598,8015.20133849,431644.65992828,8013.45973134,8015.34208113
2019-10-17,8003.49910058,8164.2217199,7960.46544319,8110.47757157,416215.20720501,8068.97047076,8071.10375972
2019-10-16,8209.88010283,8240.06365001,7980.10407862,8015.63825781,510550.19487678,8106.4322359,8111.77221268
2019-10-15,8379.46798675,8403.7361541,8162.07279552,8210.41049008,462896.89726088,8306.60240369,8307.15853215
2019-10-14,8338.27547659,8407.18740224,8258.52961678,8377.69167506,462976.48127751,8341.21556102,8340.73515527
2019-10-13,8372.91007646,8496.96320004,8270.63687741,8325.83750878,389157.72894013,8392.1867056,8393.59407795
2019-10-12,8328.69630748,8444.40648762,8312.35208127,8378.15747295,375369.565828,8377.50097303,8379.91587026
2019-10-11,8616.57158471,8745.52589532,8318.93879819,8324.2569682,597124.06314244,8432.2392114,8438.74949466
2019-10-10,8572.28952388,8677.40272463,8474.52127763,8592.39363469,511544.41056203,8576.96353255,8578.94375006
2019-10-09,8197.57501168,8688.98191867,8139.85192948,8580.47280706,581357.13787796,8381.33165253,8352.31222539
2019-10-08,8174.88663095,8344.82087371,8154.38241743,8186.78841464,441081.2338266,8218.51315866,8217.04265852
2019-10-07,7975.69910694,8307.32566246,7901.58202492,8177.41587903,599135.23119742,8092.5024267,8081.6913172
2019-10-06,8192.69569789,8211.93505502,7932.01908961,7953.34917481,496232.50155858,8056.23075175,8059.14949077
2019-10-05,8221.93467142,8232.91687102,8083.57068896,8193.05192618,424645.80110338,8163.44255339,8163.13193391
2019-10-04,8294.31788227,8294.31788227,8140.69842552,8224.3824849,466138.93959657,8207.7959206,8208.4831607
2019-10-03,8390.63193267,8417.29533415,8158.21385806,8303.18224961,491367.97590286,8279.62576969,8283.14728254
2019-10-02,8367.6434826,8397.08362552,8221.9407634,8397.08362552,438234.15713895,8304.18913255,8303.71940095
2019-10-01,8296.62865052,8471.34060213,8198.53055355,8359.42681521,563764.50858298,8360.31904211,8360.21291632
2019-09-30,8111.03076793,8326.64774745,7790.63297381,8275.11394277,626354.05715668,8119.83646805,8110.35369357
2019-09-29,8268.05271839,8269.83194286,8084.60740341,8112.74301054,474022.7197844,8189.39406194,8189.5478414
2019-09-28,8236.60794853,8328.26385234,8127.42612149,8268.46946348,494596.47843752,8220.60862826,8220.01951958
2019-09-27,8098.34937861,8287.10492929,7973.80870808,8235.85287462,614127.00736364,8095.85761557,8098.71962663
2019-09-26,8515.23973279,8555.78126104,7894.28331639,8105.62244907,778016.83358048,8323.07211956,8334.84784923
2019-09-25,8635.25496891,8810.50031008,8365.31317126,8510.47502462,804703.642444,8532.75499408,8538.56928392
2019-09-24,9778.15858314,9869.44023481,8170.68621157,8670.35109991,1006878.42047088,9392.72964033,9522.87022925
2019-09-23,10096.13478803,10106.13798536,9741.2797044,9776.9925151,452877.90933107,9935.10805511,9940.92147935
2019-09-22,10069.80976906,10123.87029624,9932.38394428,10103.9757822,358676.26583228,10044.02975673,10044.94803408
2019-09-21,10158.660836,10170.98259719,10000.27328739,10044.01151673,373883.20446604,10080.06610732,10079.90631806
2019-09-20,10198.13139851,10213.06187518,10047.37093266,10160.92811334,394526.75497182,10131.20206038,10129.11612548
2019-09-19,10072.86586903,10210.92557319,9733.71532001,10199.17339137,594125.83101994,9937.56826349,9936.88548835
2019-09-18,10120.42984645,10183.29055674,10075.54568843,10087.50750074,413713.31342476,10130.37148216,10130.39575645
2019-09-17,10229.46303199,10230.06021239,10117.09784182,10122.74577819,395374.32543105,10170.20275343,10170.03216684
2019-09-16,10290.59857143,10314.78105675,10106.09511147,10228.13359545,443616.71524914,10223.03200608,10227.89329503
2019-09-15,10316.71093582,10364.70531464,10242.38561753,10287.45435618,321426.72809094,10310.50845691,10309.68921229
2019-09-14,10399.86847881,10411.01634057,10290.44854568,10318.51069002,370134.91935556,10349.96570161,10349.96278699
2019-09-13,10446.87156785,10465.53317878,10227.1922688,10401.83894551,405088.97227019,10349.72739673,10347.89279614
2019-09-12,10217.11827623,10458.20456369,10126.11743082,10426.38296177,498568.55132939,10281.30508613,10278.36214002
2019-09-11,10150.16257463,10254.33382433,10018.40435447,10213.99271291,470701.15916865,10139.60000835,10140.14291109
2019-09-10,10324.74528063,10415.09042393,10045.4458785,10165.12243996,460503.21038858,10272.6167337,10268.28352792
2019-09-09,10424.21048669,10483.9756631,10163.53490745,10335.57991838,535579.07630139,10337.09219478,10339.4587624
2019-09-08,10511.43143486,10612.85704156,10379.00005565,10470.01716377,380972.75632513,10491.41754656,10490.16302586
2019-09-07,10363.38150502,10603.86637315,10359.96070809,10517.69499521,434964.71009228,10457.65983651,10463.98417835
2019-09-06,10607.7805181,10898.82002979,10275.6144507,10364.97965592,643464.18192654,10633.82075919,10650.8567318
2019-09-05,10586.34304717,10660.38711488,10511.84611768,10584.69181246,415673.21479639,10583.68919201,10583.12998462
2019-09-04,10598.96935705,10789.96090632,10444.26953006,10593.04167235,613966.73512254,10575.84058892,10576.61943168
2019-09-03,10320.13591256,10704.42029743,10237.46256227,10605.32654178,682997.52148172,10479.33814643,10470.53484811
2019-09-02,9913.5976564,10411.72603932,9905.73928331,10305.08389369,605742.15931097,10058.30064067,10038.99331061
2019-09-01,9638.70121399,9960.16680534,9602.14594441,9910.35823712,413715.37827839,9727.31147121,9718.23389068
2019-08-31,9678.3303335,9736.51905275,9523.21755997,9637.17572223,353209.61510761,9645.41847803,9642.72501784
2019-08-30,9576.31774977,9740.51736619,9471.28667917,9652.75602409,450017.40387548,9611.76506339,9616.92646199
2019-08-29,9752.87164368,9752.87164368,9425.14125661,9567.5509554,596971.25222016,9576.5913335,9580.31249597
2019-08-28,10214.85365704,10296.27717672,9737.05209527,9764.01518133,613373.28556552,10097.26923064,10114.73955533
2019-08-27,10383.56041779,10383.56041779,10107.73186075,10203.44658925,573679.75465609,10203.05152018,10203.07126185
2019-08-26,10259.51967044,10593.43255656,10222.41883907,10364.54719822,674663.46792919,10343.54675675,10344.53689855
2019-08-25,10196.52925867,10336.88022792,9899.80561279,10222.37830595,530570.33042684,10163.85404742,10164.99319936
2019-08-24,10421.36933663,10430.03389721,9982.28329633,10192.04388296,487300.46132629,10196.61743807,10193.44399874
2019-08-23,10180.54833647,10452.52812428,10144.94120147,10418.43265425,555828.21466596,10301.49560419,10303.27027915
2019-08-22,10233.6490197,10284.68763884,9936.8336471,10187.92072716,621378.93252284,10139.28315165,10143.59848486
2019-08-21,10759.69646065,10784.32243985,10073.49128692,10229.78266241,739977.25901839,10296.88176306,10310.5880215
2019-08-20,10869.38436088,10898.57681918,10607.3984835,10757.28984361,567191.36379431,10755.84368492,10754.98726088
2019-08-19,10427.86469586,10869.25475352,10370.20855222,10869.11815925,618547.30742234,10636.42626319,10628.85622168
2019-08-18,10314.56571541,10526.60839483,10228.83627607,10421.470206,494544.70847643,10393.42028132,10393.00471237
2019-08-17,10408.40348902,10526.83038296,10172.67627664,10321.28843262,537310.62146674,10380.20725964,10374.85802463
2019-08-16,10404.57501291,10592.98295827,9936.16600527,10408.02234051,800179.45846726,10320.54481923,10321.5660991
2019-08-15,10183.96087586,10515.18658196,9732.38229311,10397.52641189,872810.10837313,10154.94205266,10151.62149138
2019-08-14,10869.88590996,10869.88590996,10128.70572726,10128.70572726,774866.53028855,10532.15202082,10540.65386428
2019-08-13,11297.53968628,11399.16870444,10840.47878384,10880.37025036,583266.29168185,11096.35054062,11116.363426
2019-08-12,11458.49041074,11463.78078189,11215.50059113,11346.04231298,464726.57237532,11344.40063938,11343.60299922
2019-08-11,11281.88607307,11478.63093876,11199.0302053,11465.28067958,507003.8625905,11343.11273962,11345.26359369
2019-08-10,11738.69955029,11794.72282246,11260.11578908,11298.36168323,616201.12910697,11506.42727636,11514.02592473
2019-08-09,11872.16389646,11895.30492007,11592.19539298,11741.18455854,605017.50224248,11738.21972738,11737.84713955
2019-08-08,11879.45647276,11932.9686523,11500.01762714,11932.9686523,671957.82717579,11755.90833804,11752.04384196
2019-08-07,11341.55786137,11958.690475,11284.11935586,11878.76628401,800425.72363366,11598.62648101,11602.57626997
2019-08-06,11616.10919019,12046.09288335,11150.87117909,11367.20418629,851756.52623772,11606.29753058,11609.29318867
2019-08-05,10867.23218835,11695.02087191,10867.23218835,11630.48554138,787679.94379067,11502.42611879,11487.94640847
2019-08-04,10740.42119821,10934.06816571,10513.46858002,10901.30415132,575490.04765604,10744.77302822,10741.76687305
2019-08-03,10491.75653628,10830.61918625,10482.68665892,10766.46124431,494661.40395054,10716.9451745,10717.88606915
2019-08-02,10302.98085738,10579.91935389,10256.10600043,10498.19564797,556841.9469571,10403.25039339,10402.57085888
2019-08-01,10053.74031373,10363.59400177,9893.11764621,10292.41131632,601586.70532154,10052.21680599,10053.57557828
2019-07-31,9623.96447747,10090.23135013,9610.25808198,10041.99365788,586945.09353113,9870.08858109,9864.67734935
2019-07-30,9543.7294565,9783.38848364,9453.55185948,9613.63911739,512874.01718265,9592.48387453,9592.47138469
